"vit";"haut";"dx"
0;0;0.182113190473885
0.02;0;0.194675102499546
0.04;0;0.207922242314695
0.06;0;0.221864016352374
0.08;0;0.236505926010217
0.1;0;0.251849024458425
0.12;0;0.267889358123285
0.14;0;0.284617399770595
0.16;0;0.302017481361058
0.18;0;0.320067236112547
0.2;0;0.33873706045034
0.22;0;0.357989607719009
0.24;0;0.377779326626664
0.26;0;0.398052058347178
0.28;0;0.418744706968622
0.3;0;0.439788649162716
0.32;0;0.461130434117986
0.34;0;0.482721990529535
0.36;0;0.504513009423395
0.38;0;0.526451181029819
0.4;0;0.548482466502778
0.42;0;0.570551385124647
0.44;0;0.592601314423855
0.46;0;0.614574800501326
0.48;0;0.636413875764773
0.5;0;0.658060381209381
0.52;0;0.679456290359029
0.54;0;0.700544031994125
0.56;0;0.721266808838809
0.58;0;0.741568909461028
0.6;0;0.761396010751179
0.62;0;0.780695468486884
0.64;0;0.799416593659591
0.66;0;0.817510912431008
0.68;0;0.834932407799076
0.7;0;0.85163774128254
0.72;0;0.86758645317486
0.74;0;0.882741140169606
0.76;0;0.897067609416597
0.78;0;0.910535008327057
0.8;0;0.923115929703938
0.82;0;0.934786492026205
0.84;0;0.945526394961628
0.86;0;0.955318950416534
0.88;0;0.96415108965306
0.9;0;0.972013347210123
0.92;0;0.978899822553416
0.94;0;0.984808120549902
0.96;0;0.989739272012633
0.98;0;0.99369763569116
1;0;0.996690783191535
1.02;0;0.998729368396612
1.04;0;0.999826983023474
1.06;0;1
1.08;0;0.999267406367327
1.1;0;0.997650627421242
1.12;0;0.995173343793095
1.14;0;0.991861303142123
1.16;0;0.987742128086701
1.18;0;0.982845121944057
1.2;0;0.977201073777737
1.22;0;0.970842064171144
1.24;0;0.963801273055814
1.26;0;0.956112790825975
1.28;0;0.947811433868359
1.3;0;0.938932565529218
1.32;0;0.929511923431403
1.34;0;0.919585453943674
1.36;0;0.909189154494001
1.38;0;0.898358924309496
1.4;0;0.887130424059135
1.42;0;0.875538944771959
1.44;0;0.863619286304468
1.46;0;0.85140564553697
1.48;0;0.838931514389912
1.5;0;0.826229587668906
1.52;0;0.81333168067091
1.54;0;0.800268656414671
1.56;0;0.787070362295876
1.58;0;0.773765575911582
1.6;0;0.760381959749654
1.62;0;0.746946024396716
1.64;0;0.733483099882351
1.66;0;0.72001731474823
1.68;0;0.706571582407328
1.7;0;0.693167594341048
1.72;0;0.679825819670005
1.74;0;0.666565510626914
1.76;0;0.653404713457674
1.78;0;0.640360284278493
1.8;0;0.62744790942221
1.82;0;0.614682129815975
1.84;0;0.602076368944347
1.86;0;0.589642963966111
1.88;0;0.577393199569916
1.9;0;0.565337344172187
1.92;0;0.553484688080736
1.94;0;0.541843583268577
1.96;0;0.530421484424403
1.98;0;0.519224990968727
2;0;0.508259683461899
4;0;0.254129841730949
50;0;0
0;0.02;0.173338961254435
0.02;0.02;0.18565207752352
0.04;0.02;0.198661500804958
0.06;0.02;0.212378701558957
0.08;0.02;0.226811273547707
0.1;0.02;0.241962362163617
0.12;0.02;0.257830073712444
0.14;0.02;0.274406872762205
0.16;0.02;0.291678976040066
0.18;0.02;0.309625752757532
0.2;0.02;0.328219142635073
0.22;0.02;0.347423104240465
0.24;0.02;0.367193107504429
0.26;0.02;0.387475685381034
0.28;0.02;0.408208060522794
0.3;0.02;0.429321533236515
0.32;0.02;0.450762306868191
0.34;0.02;0.472481745125956
0.36;0.02;0.494428739255688
0.38;0.02;0.516549950336493
0.4;0.02;0.538790089026872
0.42;0.02;0.56109221322951
0.44;0.02;0.583398040962042
0.46;0.02;0.605648275557746
0.48;0.02;0.62778294019519
0.5;0.02;0.64974171867062
0.52;0.02;0.671464299282179
0.54;0.02;0.692890718690374
0.56;0.02;0.713961702654467
0.58;0.02;0.734619000617667
0.6;0.02;0.754805711223553
0.62;0.02;0.774466595989773
0.64;0.02;0.79354837853914
0.66;0.02;0.812000026990441
0.68;0.02;0.829773017336891
0.7;0.02;0.846821575886211
0.72;0.02;0.863102899098185
0.74;0.02;0.87857734942926
0.76;0.02;0.893208626075086
0.78;0.02;0.906963909787132
0.8;0.02;0.919813981223777
0.82;0.02;0.931733312576919
0.84;0.02;0.942700132487664
0.86;0.02;0.952696464526508
0.88;0.02;0.96170813976074
0.9;0.02;0.969724784163522
0.92;0.02;0.976739781831279
0.94;0.02;0.982750215167954
0.96;0.02;0.987756783365211
0.98;0.02;0.991763700654223
1;0.02;0.994778575928787
1.02;0.02;0.996812275439246
1.04;0.02;0.997878770332474
1.06;0.02;0.997994970866893
1.08;0.02;0.99718054916096
1.1;0.02;0.995457752343278
1.12;0.02;0.992851207960698
1.14;0.02;0.989387723470481
1.16;0.02;0.985096081595564
1.18;0.02;0.980006833258298
1.2;0.02;0.974152089731716
1.22;0.02;0.967565315558455
1.24;0.02;0.960281123688588
1.26;0.02;0.952335074180834
1.28;0.02;0.943763477698238
1.3;0.02;0.934603204911498
1.32;0.02;0.924891502802287
1.34;0.02;0.914665818736989
1.36;0.02;0.903963633059254
1.38;0.02;0.892822300829253
1.4;0.02;0.881278903220378
1.42;0.02;0.869370108969699
1.44;0.02;0.857132046170246
1.46;0.02;0.844600184589144
1.48;0.02;0.831809228598994
1.5;0.02;0.818793020719389
1.52;0.02;0.805584455682234
1.54;0.02;0.792215404859018
1.56;0.02;0.778716650820083
1.58;0.02;0.765117831735501
1.6;0.02;0.751447395274543
1.62;0.02;0.737732561615377
1.64;0.02;0.723999295138806
1.66;0.02;0.710272284348912
1.68;0.02;0.696574929539212
