"vit";"haut";"dx"
0;0;0.529053890102485
0.02;0;0.54039151619285
0.04;0;0.551959026550583
0.06;0;0.563747427426816
0.08;0;0.57574666222246
0.1;0;0.587945560221412
0.12;0;0.60033178717527
0.14;0;0.612891798212681
0.16;0;0.625610793579142
0.18;0;0.638472677744304
0.2;0;0.651460022443055
0.22;0;0.664554034243351
0.24;0;0.677734527257332
0.26;0;0.690979901632032
0.28;0;0.704267128471385
0.3;0;0.717571741851504
0.32;0;0.73086783859572
0.34;0;0.744128086473877
0.36;0;0.757323741481238
0.38;0;0.770424674835374
0.4;0;0.783399410303871
0.42;0;0.796215172441167
0.44;0;0.808837946268525
0.46;0;0.821232548876859
0.48;0;0.833362713367209
0.5;0;0.845191185468056
0.52;0;0.856680051500802
0.54;0;0.867800675855268
0.56;0;0.878538386609605
0.58;0;0.888880204571106
0.6;0;0.898813872959123
0.62;0;0.908327882220908
0.64;0;0.917411492284777
0.66;0;0.926054752203887
0.68;0;0.934248517156474
0.7;0;0.941984462780852
0.72;0;0.949255096835749
0.74;0;0.956053768188633
0.76;0;0.96237467314638
0.78;0;0.968212859154084
0.8;0;0.973564225898655
0.82;0;0.978425523864481
0.84;0;0.98279435039825
0.86;0;0.986669143349526
0.88;0;0.990049172362483
0.9;0;0.992934527902271
0.92;0;0.99532610810715
0.94;0;0.997225603564242
0.96;0;0.99863548011299
0.98;0;0.999558959785785
1;0;1
1.02;0;0.99996327111963
1.04;0;0.999454132508124
1.06;0;0.9984786071965
1.08;0;0.997043355292828
1.1;0;0.995155646260353
1.12;0;0.992823330192127
1.14;0;0.990054808209983
1.16;0;0.986859002114977
1.18;0;0.983245323415238
1.2;0;0.979223641855314
1.22;0;0.974804253568868
1.24;0;0.969997848973689
1.26;0;0.964815480524843
1.28;0;0.959268530438045
1.3;0;0.95336867849139
1.32;0;0.947127870009137
1.34;0;0.940558284126659
1.36;0;0.93367230243068
1.38;0;0.926482478063853
1.4;0;0.919001505377305
1.42;0;0.911242190209421
1.44;0;0.903217420863454
1.46;0;0.894940139850909
1.48;0;0.886423316461966
1.5;0;0.877679920218448
1.52;0;0.868722895259106
1.54;0;0.859565135701415
1.56;0;0.850219462018363
1.58;0;0.840698598463309
1.6;0;0.831015151570555
