"haut";"vit";"dx"
0;0;0
0.02;0;0.0211881628981986
0.04;0;0.0423763257963972
0.06;0;0.0635644886945958
0.08;0;0.0847526515927944
0.1;0;0.105940814490993
0.12;0;0.127128977389192
0.14;0;0.14831714028739
0.16;0;0.169505303185589
0.18;0;0.190693466083787
0.2;0;0.211881628981986
0.22;0;0.236642252723202
0.24;0;0.26367960833559
0.26;0;0.293051933924978
0.28;0;0.324784248147632
0.3;0;0.358860923511589
0.32;0;0.395218035907167
0.34;0;0.433735770287629
0.36;0;0.474231229793819
0.38;0;0.516452059218699
0.4;0;0.560071347879285
0.42;0;0.604684315173895
0.44;0;0.649807297296935
0.46;0;0.694879538695195
0.48;0;0.739268240470025
0.5;0;0.782277225113524
0.52;0;0.823159440106941
0.54;0;0.861133342616714
0.56;0;0.895409913713282
0.58;0;0.925374620820097
0.6;0;0.950635133185069
0.62;0;0.970891019286914
0.64;0;0.9859325627785
0.66;0;0.995643349059647
0.68;0;1
0.7;0;0.999069212907464
0.72;0;0.993002362385294
0.74;0;0.982028006139675
0.76;0;0.966442695391768
0.78;0;0.946600526251776
0.8;0;0.92290188069798
0.82;0;0.895781796462803
0.84;0;0.865698377002812
0.86;0;0.833121609395251
0.88;0;0.79852290344969
0.9;0;0.762365603646338
0.92;0;0.725096660648573
0.94;0;0.687139584647163
0.96;0;0.648888741702317
0.98;0;0.61070499895138
1;0;0.57291267676765
1.02;0;0.535797726748545
1.04;0;0.499607024229987
1.06;0;0.464548642783984
1.08;0;0.430792965342268
1.1;0;0.398474481356535
1.12;0;0.367694120690697
1.14;0;0.338521981555602
1.16;0;0.311000320519932
1.18;0;0.285146686275489
1.2;0;0.260957094305015
1.22;0;0.238409155928541
1.24;0;0.217465091574416
1.26;0;0.198074573878688
1.28;0;0.180177360867069
1.3;0;0.163705692672026
1.32;0;0.148586436773635
1.34;0;0.134742976531206
1.36;0;0.12209684579238
1.38;0;0.110569118699603
1.4;0;0.100081568586191
1.42;0;0.0905576132266454
1.44;0;0.0819230658598429
1.46;0;0.0741065000971441
1.48;0;0.0670355480055945
1.5;0;0.0606392784778611
50;0;0
0;0.02;0
0.02;0.02;0.0186088390057708
0.04;0.02;0.0372176780115415
0.06;0.02;0.0558265170173123
0.08;0.02;0.074435356023083
0.1;0.02;0.0930441950288538
0.12;0.02;0.111653034034625
0.14;0.02;0.130261873040395
0.16;0.02;0.148870712046166
0.18;0.02;0.167479551051937
0.2;0.02;0.186088390057708
0.22;0.02;0.207232915318275
0.24;0.02;0.23026357016038
0.26;0.02;0.255223978674764
0.28;0.02;0.282130580462575
0.3;0.02;0.310966783361788
0.32;0.02;0.341676960743179
0.34;0.02;0.374160509542445
0.36;0.02;0.408266235452421
0.38;0.02;0.443787379015399
0.4;0.02;0.480457636610268
0.42;0.02;0.517948558786617
0.44;0.02;0.555868719947064
0.46;0.02;0.593765042895883
0.48;0.02;0.631126624584114
0.5;0.02;0.667391341832663
0.52;0.02;0.701955415877677
0.54;0.02;0.734185982479434
0.56;0.02;0.763442214666384
0.58;0.02;0.78922307788134
0.6;0.02;0.811205675700046
0.62;0.02;0.829138498535404
0.64;0.02;0.842840455547162
0.66;0.02;0.852203187706034
0.68;0.02;0.857191233673581
0.7;0.02;0.857840151105507
0.72;0.02;0.854252771609588
0.74;0.02;0.846593829387804
0.76;0.02;0.835083249535162
0.78;0.02;0.819988411141102
0.8;0.02;0.801615712882031
0.82;0.02;0.780301765770499
0.84;0.02;0.756404520953026
0.86;0.02;0.730294612284865
0.88;0.02;0.702347156549119
0.9;0.02;0.672934211446005
0.92;0.02;0.642418045615544
0.94;0.02;0.611145328516833
0.96;0.02;0.579442303185425
0.98;0.02;0.547610963535014
1;0.02;0.515926221322879
1.02;0.02;0.484634017071207
1.04;0.02;0.45395030461295
1.06;0.02;0.42406082061212
1.08;0.02;0.395121538175219
1.1;0.02;0.367259697048895
1.12;0.02;0.340575301232799
1.14;0.02;0.315142977354511
1.16;0.02;0.291014093029472
1.18;0.02;0.268219042836682
1.2;0.02;0.246769619693014
1.22;0.02;0.226661400590639
1.24;0.02;0.207876087250307
1.26;0.02;0.190383753719238
1.28;0.02;0.174144963894955
1.3;0.02;0.159112732078865
1.32;0.02;0.145234308746185
1.34;0.02;0.132452781638276
1.36;0.02;0.120708488989016
1.38;0.02;0.109940247197446
1.4;0.02;0.100086399609422
1.42;0.02;0.091085696359396
1.44;0.02;0.0828780175599702
1.46;0.02;0.0754047463799722
1.48;0.02;0.0686051659553864
1.5;0.02;0.0624187338559396
50;0.02;0
0;0.04;0
0.02;0.04;0.0163828319535307
0.04;0.04;0.0327656639070615
0.06;0.04;0.0491484958605922
0.08;0.04;0.0655313278141229
0.1;0.04;0.0819141597676537
0.12;0.04;0.0982969917211844
0.14;0.04;0.114679823674715
0.16;0.04;0.131062655628246
0.18;0.04;0.147445487581777
0.2;0.04;0.163828319535307
0.22;0.04;0.181910269121908
0.24;0.04;0.201555292529671
0.26;0.04;0.222795708953774
0.28;0.04;0.245641611576042
0.3;0.04;0.270076271456014
0.32;0.04;0.296051435416048
0.34;0.04;0.323482684380088
0.36;0.04;0.352245055983683
0.38;0.04;0.382169170352099
0.4;0.04;0.413038127759792
0.42;0.04;0.444585468018223
0.44;0.04;0.476494490206014
0.46;0.04;0.508399224055457
0.48;0.04;0.539887317552578
0.5;0.04;0.570505056402163
0.52;0.04;0.599764658391712
0.54;0.04;0.627153889356126
0.56;0.04;0.65215255829144
0.58;0.04;0.674352505976807
0.6;0.04;0.693488395072184
0.62;0.04;0.709350222221303
0.64;0.04;0.721782502380821
0.66;0.04;0.730686291494189
0.68;0.04;0.736019599472305
0.7;0.04;0.737796259539426
0.72;0.04;0.736083375413603
0.74;0.04;0.730997513782795
0.76;0.04;0.722699844603452
0.78;0.04;0.711390455135373
0.8;0.04;0.697302075299407
0.82;0.04;0.680693452510539
0.84;0.04;0.661842604734522
0.86;0.04;0.64104016267805
0.88;0.04;0.618582987543862
