Alburnus_Aluburnus	0	0.80676912	1.1817355	0.58832182	1.31027079	0.41272042	-0.1150033	0.02687828	0.10258264	0.34486637	0	0	0	0	0
Anguilla_Anguilla	0	0.46536587	0.14489756	-0.3045996	-0.6597609	-0.350385	0.02563917	0.21359999	0.5120258	0.90532074	0	0	0	0	0
Barbus_barbus	0	-0.216538	0.8673497	1.29511822	1.55719358	1.09278565	0.12007454	0.39491025	0.72681485	0.44444986	0	0	0	0	0
Telestes_souffia	0	0.18005922	0.54387252	0.26100758	0.6592436	0.0755406	0.13594662	0.15052694	0.37390176	0.44451604	0	0	0	0	0
Squalius_cephalus	0	3.36784485	2.38341444	2.50669228	0.69283156	0.00838252	0.20323166	0.47569479	0.47060332	0.25665727	0	0	0	0	0
Rutilus_rutilus	0	1.04937001	0.75940961	0.28471444	-0.0669036	-0.3972762	-0.0694633	0.10690806	0.28275917	0.76263893	0	0	0	0	0
Gobio_gobio	0	0.27277294	-0.5681242	0.18926973	-1.3617887	-1.0662027	0.3547841	0.89646268	1.54102138	1.59216747	0	0	0	0	0
Chondrostoma_nasus	0	0.06361071	0.58215085	0.27707067	0.32921386	0.64127382	0.05349908	0.05534868	0.18495382	0.61278436	0	0	0	0	0
Barbatula_barbatula	0	-0.7168006	-0.6422133	0.03435464	-0.4045518	-0.6648302	0.6759825	1.00881759	0.741564	0.92374466	0	0	0	0	0
Perca_fluviatilis	0	1.14705386	1.10991974	0.57252119	0.41728003	0.03175059	-0.1172358	-0.1394949	-0.2149517	-0.1049493	0	0	0	0	0
Lepomis_gibbosus	0	1.05425629	0.28940807	0.13022341	0.15101612	0.09468606	-0.0462353	-0.0817331	0.01779582	0.04127454	0	0	0	0	0
Alburnoides_bipunctatus	0	0.08895717	1.26282494	0.06014199	0.44085265	0.27219311	0.27171962	0.49687779	0.43122667	0.84268914	0	0	0	0	0
Phoxinus_phoxinus	0	0.16678809	0.11360848	0.28344919	0.01054917	-1.7665439	0.24822062	0.5599397	0.78767783	0.61437436	0	0	0	0	0
Leuciscus_leuciscus	0	0.39951022	0.34410416	0.77651292	0.39680006	-0.3985682	-0.0774244	0.0774789	0.03833064	0.30917888	0	0	0	0	0
