"vit";"haut";"dx"
0;0;0.229014127524442
0.02;0;0.24538220861558
0.04;0;0.262588674250685
0.06;0;0.280622947897548
0.08;0;0.299465500336895
0.1;0;0.319086907062139
0.12;0;0.33944693719493
0.14;0;0.360493698307527
0.16;0;0.382162864200717
0.18;0;0.404377014993126
0.2;0;0.427045120686214
0.22;0;0.450062200522391
0.24;0;0.473309190790512
0.26;0;0.496653053095747
0.28;0;0.519947153352036
0.3;0;0.543038220059615
0.32;0;0.565804166044666
0.34;0;0.588137212188082
0.36;0;0.609930294318383
0.38;0;0.631077989240819
0.4;0;0.651477465608568
0.42;0;0.671029408818183
0.44;0;0.689638907466594
0.46;0;0.707216289652227
0.48;0;0.723677898350839
0.5;0;0.73894679622362
0.52;0;0.752953391492086
0.54;0;0.765635977911873
0.56;0;0.776941183361924
0.58;0;0.786824323105427
0.6;0;0.795249655339197
0.62;0;0.802190538199009
0.64;0;0.807629488896811
0.66;0;0.811558147106162
0.68;0;0.813977146056894
0.7;0;0.81489589602921
0.72;0;0.814332286031353
0.74;0;0.812312310390185
0.76;0;0.808869627770601
0.78;0;0.804045060760129
0.8;0;0.797886044608833
0.82;0;0.790446034001519
0.84;0;0.781783876865409
0.86;0;0.771963164188572
0.88;0;0.761051564653947
0.9;0;0.749120152592974
0.92;0;0.736242737346186
0.94;0;0.722495201601335
0.96;0;0.707954855679502
0.98;0;0.69269981407263
1;0;0.676808399819428
1.02;0;0.660358581556528
1.04;0;0.643427447314554
1.06;0;0.626090718358418
1.08;0;0.608422305611743
1.1;0;0.590493910468616
1.12;0;0.572374671092508
1.14;0;0.554130854641187
1.16;0;0.535825595244938
1.18;0;0.517518677009174
1.2;0;0.499266360815636
1.22;0;0.481121253261334
1.24;0;0.46313221570243
1.26;0;0.445344311061313
1.28;0;0.427798785807858
1.3;0;0.410533084338124
1.32;0;0.393580892842523
1.34;0;0.376972209676915
1.36;0;0.360733439220083
1.38;0;0.344887506214775
1.4;0;0.329453987642285
1.42;0;0.314449259267152
1.44;0;0.299886654104213
1.46;0;0.28577663019974
1.48;0;0.272126945277201
1.5;0;0.258942835971632
1.52;0;0.246227199560471
1.54;0;0.233980776289169
1.56;0;0.222202330583308
1.58;0;0.210888829632257
1.6;0;0.200035618019789
1.62;0;0.189636587262194
1.64;0;0.179684339292277
