"vit";"haut";"dx"
0;0;0.572315562112726
0.02;0;0.583818832198061
0.04;0;0.595538594401104
0.06;0;0.607463596724715
0.08;0;0.619581445935699
0.1;0;0.63187855804706
0.12;0;0.64434011150049
0.14;0;0.65695000358171
0.16;0;0.669690810633226
0.18;0;0.682543752658707
0.2;0;0.695488662939895
0.22;0;0.708503963310088
0.24;0;0.721566645747062
0.26;0;0.734652260962386
0.28;0;0.747734914672143
0.3;0;0.76078727223611
0.32;0;0.773780572347153
0.34;0;0.78668465043926
0.36;0;0.799467972461242
0.38;0;0.812097679631801
0.4;0;0.824539644751132
0.42;0;0.836758540592674
0.44;0;0.848717920836766
0.46;0;0.860380313934226
0.48;0;0.871707330203337
0.5;0;0.882659782366912
0.52;0;0.893198381926171
0.54;0;0.903296428823245
0.56;0;0.912940665577641
0.58;0;0.922119265625254
0.6;0;0.930821301185824
0.62;0;0.939036763625986
0.64;0;0.946756580622391
0.66;0;0.953972630108946
0.68;0;0.96067775100695
0.7;0;0.966865750752448
0.72;0;0.972531409649351
0.74;0;0.977670482090905
0.76;0;0.982279694705716
0.78;0;0.986356741497046
0.8;0;0.989900276056456
0.82;0;0.992909900943929
0.84;0;0.99538615433721
0.86;0;0.997330494062857
0.88;0;0.998745279129997
0.9;0;0.999633748896016
0.92;0;1
0.94;0;0.999848961206197
0.96;0;0.999186366304347
0.98;0;0.998018725218613
1;0;0.996353293479339
1.02;0;0.994198040214913
1.04;0;0.991561614822053
1.06;0;0.988453312473649
1.08;0;0.984883038623157
1.1;0;0.98086127266339
1.12;0;0.976399030895978
1.14;0;0.971507828965178
1.16;0;0.966199643906834
1.18;0;0.96048687595914
1.2;0;0.954382310278035
1.22;0;0.947899078694816
1.24;0;0.9410506216484
1.26;0;0.933850650419029
1.28;0;0.926313109783747
1.3;0;0.918452141208028
1.32;0;0.910282046680677
1.34;0;0.901817253292672
1.36;0;0.893072278653157
1.38;0;0.884061697228765
1.4;0;0.874800107684907
1.42;0;0.865302101300631
1.44;0;0.855582231520938
1.46;0;0.845654984703374
1.48;0;0.835534752108368
1.5;0;0.8252358031757
1.52;0;0.814772260122545
